Timestamp;Value
01.10.2021 2:25;0,9738
01.10.2021 2:25;Bad
01.10.2021 2:25;0,9744
01.10.2021 3:17;0,972
01.10.2021 3:18;Bad
01.10.2021 3:18;0,972
01.10.2021 6:28;0,963
01.10.2021 8:52;0,9516
01.10.2021 8:52;I/O Timeout
01.10.2021 8:54;0,9516
01.10.2021 9:04;0,951
01.10.2021 9:05;I/O Timeout
01.10.2021 9:07;0,951
01.10.2021 9:09;I/O Timeout
01.10.2021 9:11;0,9504
01.10.2021 9:12;I/O Timeout
01.10.2021 9:14;0,9504
01.10.2021 9:31;0,9486
01.10.2021 9:31;I/O Timeout
01.10.2021 9:32;0,9486
01.10.2021 9:47;0,948
01.10.2021 9:47;I/O Timeout
01.10.2021 9:49;0,9474
01.10.2021 10:18;0,9486
